Temperature (◦C),Pressure (bar),Dosage (g),Initial sulfur (ppm),Sulfur concentration (ppm),Emission (%),HDS cost ($)
52.97381286205343,19.653878314366953,0.18244703194318113,1864.8128982963678,1110.7665683472396,0.0,8.932496314366583
56.53386043546172,19.287161152759545,0.19757822011992796,1904.8653030291393,835.0738513870378,0.07634509438058315,10.722023662545007
47.92808979381404,21.899594339739075,0.19515441403955347,2113.9687797907172,1024.970785716568,0.14350098254447533,9.295865133027158
58.380746645806695,18.24450835019067,0.22021078485443701,1965.284913840259,1057.3934821034163,0.23772170718170343,10.102180886677248
42.5881619359033,21.663539139696788,0.19443935883972407,2444.3749939032946,1026.594576161392,0.2510479411704053,9.977981285342679
47.84299267066892,22.916007078379113,0.18745048974873008,1915.2781213865053,992.7522778079564,0.3702137197743172,10.16498721129308
48.169913590481535,21.92306461616044,0.25001112431294586,1892.3422880287844,1015.7147349562274,0.43207713763430683,9.980779556963178
52.93393825669913,18.662449652144367,0.1982588542582745,1979.8521832839801,1048.8699365067107,0.5613105306476848,10.233269260883295
53.18182938165047,18.472297467847017,0.2271289576199478,2043.2603739804058,979.4388801922129,0.5515886705535772,9.612330759933581
55.57263797938708,22.843449494876207,0.19944128341820694,2020.02798047624,1007.033804570887,0.7088125372249651,10.80551394618117
53.601665430395656,21.23096035847453,0.22374232027660831,2110.1203309052858,956.1811086104009,0.6507865756269443,10.218636267201283
55.35687795109474,16.265100120486004,0.19322764857265562,1974.5484342686561,1029.7866295470212,0.8117039278159457,11.149931144652722
51.62923544892811,22.403358146083693,0.22148525808415806,2004.218301398137,980.631728438357,0.9464069260987571,11.305457499488169
59.885934546895456,22.170781224270325,0.17509565499559432,2090.164066789521,1017.6439223269706,0.8724535511730234,12.097621953194874
60.13143601547445,20.31676209967809,0.20124208899172286,1831.191464622771,800.7078178655802,1.0704428328803846,10.574735135866922
52.7069780382293,21.92696046853746,0.20799778434379526,1888.4280314186822,1009.9994724726233,1.0691062548458274,12.331344014184
56.56395615585431,21.040092919580477,0.20947501101613925,1660.115198023649,933.0587433536399,1.1567216212394382,11.77065598166349
56.75483608612681,18.20927250565338,0.20966853465443083,1949.0845710760648,1093.9053470403048,1.0907151648598097,10.381999358969221
57.32106917470132,20.02683247356132,0.21772756073635866,2024.8357835796653,1092.1149907387298,1.493294834502613,11.004041665683866
55.4201317785263,22.03758879341817,0.21810195218015016,2181.37312551361,1031.021912337277,1.367651669280661,10.948688394747636
53.05892981645673,20.998440235492733,0.18420947475104704,2130.8183974201643,1086.9809110537954,1.4985002163426315,11.185235790842723
63.37532286675601,20.77228059934721,0.20343528556447646,2019.2874749825185,973.2153708849751,1.4745031046641146,10.486711872094343
59.59493153949934,22.998159085881305,0.20898662596206033,1952.7565082161393,1063.1806397334094,1.5950581833161595,10.111872408058296
